belongs_to_collection,budget,original_language,popularity,production_countries,runtime,tagline,revenue,release_year,release_month,budget_year_ratio,all_genres
0,14000000,7,6.575392999999999,275,93.0,0,12314651,2015,2,3.448084773627077,305
0,40000000,7,8.248895,275,113.0,0,95149435,2004,8,9.960119680798085,330
1,3300000,7,64.29999000000001,275,105.0,0,13092000,2014,10,0.8135701529216044,435
1,1200000,13,3.174936,233,122.0,1,16000000,2012,3,0.2964321427301005,486
1,0,18,1.1480700000000001,243,118.0,1,3923970,2009,2,0.0,194
1,8000000,7,0.743274,0,83.0,1,3261638,1987,8,2.0262557149909237,207
1,14000000,7,7.2864770000000005,82,92.0,0,85446075,2012,8,3.458374998517839,520
1,0,7,1.9490439999999998,0,84.0,0,2586511,2004,1,0.0,422
0,0,7,6.902423,275,100.0,0,34327391,1996,2,0.0,25
1,6000000,7,4.672036,275,91.0,0,18750246,2003,4,1.4955101047879005,381
0,1000000,7,14.774066,275,119.0,0,117235147,1976,11,0.2561097542985461,435
0,0,7,10.54375,275,98.0,0,22642033,1987,7,0.0,305
1,15000000,7,20.726578,275,122.0,0,356296601,1999,9,3.7537528143761727,435
0,53000000,7,13.314232999999998,275,118.0,0,95226116,2005,3,13.18399761195515,306
1,102000000,7,20.666063,275,145.0,0,358372926,2002,6,25.449076398127346,183
1,500000,28,1.018477,265,97.0,0,192864,2010,10,0.12375931288829485,127
1,26000000,7,6.336926999999999,275,85.0,0,57891803,2005,8,6.467621470015734,520
1,0,7,4.1835580000000006,204,111.0,0,1234254,2013,12,0.0,480
1,8000000,7,6.496258999999999,11,96.0,0,1749457,2011,2,1.978180178090616,385
0,32000000,7,11.359658999999999,176,87.0,0,85167639,2005,8,7.960149501557826,140
1,80000000,7,12.000579,275,130.0,0,136159423,1998,4,20.04006008010012,262
0,4000000,7,7.99229,275,95.0,0,36690067,1982,8,1.0182459491630527,520
0,0,7,7.820786999999999,275,116.0,0,100345,2012,7,0.0,520
1,0,7,1.323333,275,92.0,0,17011,2011,9,0.0,506
1,0,7,7.434577,257,87.0,0,4947717,2006,9,0.0,373
1,0,7,1.252367,241,95.0,0,8403433,1992,10,0.0,376
1,10000000,7,4.305734999999999,275,110.0,0,13835130,1997,9,2.5075169088133955,405
